# Recorded using POD_Data_Capture.py
# Recoreded on:     2022-08-02 11:24:52.233075
# Device address:   
# Device ID:        00:3c:84:dd:2c:01

ECG_LOD,ECG_1,ECG_2,A_X,A_Y,A_Z,G_X,G_Y,G_Z,M_X,M_Y,M_Z,tstamp
0,-0.16766828910383597,-0.20924083030202817,0.11962890625,-0.224609375,0.9873046875,0.01318359375,0.03857421875,0.00390625,0.67919921875,0.07861328125,-0.07568359375,2022-08-02T11:24:23.525434
0,-0.1676479655809083,-0.2092893139605379,0.11962890625,-0.224609375,0.9873046875,0.01318359375,0.03857421875,0.00390625,0.67919921875,0.07861328125,-0.07568359375,2022-08-02T11:24:23.527434
0,-0.16771108906525575,-0.2092301518408289,0.11962890625,-0.224609375,0.9873046875,0.01318359375,0.03857421875,0.00390625,0.67919921875,0.07861328125,-0.07568359375,2022-08-02T11:24:23.529434
0,-0.16776973448522928,-0.20916005291005293,0.11962890625,-0.224609375,0.9873046875,0.01318359375,0.03857421875,0.00390625,0.67919921875,0.07861328125,-0.07568359375,2022-08-02T11:24:23.531434
0,-0.16772831238977068,-0.20914644648368608,0.11962890625,-0.224609375,0.9873046875,0.01318359375,0.03857421875,0.00390625,0.67919921875,0.07861328125,-0.07568359375,2022-08-02T11:24:23.533434
0,-0.16787910259589944,-0.20889662216159607,0.11962890625,-0.224609375,0.9873046875,0.01318359375,0.03857421875,0.00390625,0.67919921875,0.07861328125,-0.07568359375,2022-08-02T11:24:23.535434
0,-0.16792379712301586,-0.20874479855599648,0.11962890625,-0.224609375,0.9873046875,0.01318359375,0.03857421875,0.00390625,0.67919921875,0.07861328125,-0.07568359375,2022-08-02T11:24:23.537434
0,-0.16800156043320108,-0.20856386753196648,0.11962890625,-0.224609375,0.9873046875,0.01318359375,0.03857421875,0.00390625,0.67919921875,0.07861328125,-0.07568359375,2022-08-02T11:24:23.539434
0,-0.1680369543650794,-0.20832721905313048,0.11962890625,-0.224609375,0.9873046875,0.01318359375,0.03857421875,0.00390625,0.67919921875,0.07861328125,-0.07568359375,2022-08-02T11:24:23.541434
0,-0.16795626308972664,-0.20829552813602287,0.11962890625,-0.224609375,0.9873046875,0.01318359375,0.03857421875,0.00390625,0.67919921875,0.07861328125,-0.07568359375,2022-08-02T11:24:23.543434
0,-0.16799897693452379,-0.20812527557319224,0.12255859375,-0.23046875,0.98779296875,0.02392578125,0.08642578125,0.0126953125,0.67529296875,0.08251953125,-0.07666015625,2022-08-02T11:24:23.545434
